Probability,Class
0.015428842,A
0.004048128,B
0.0016673887,C
0.002092677,D
0.00255662,E
0.0023165115,G
0.0022366538,H
0.0002898735,I
0.011849577,J
0.00031502763,K
0.0013843665,L
0.00070574554,M
0.9551087,PoseBad
