Probability,Class
0.0023136998,A
0.00561017,B
0.021220326,C
0.08311994,D
0.035801046,E
0.121555574,G
0.11041969,H
0.23264977,I
0.010486342,J
0.006786801,K
0.15395606,L
0.0050942167,M
0.21098632,PoseBad
