Probability,Class
0.019619796,A
0.026738398,B
0.04762567,C
0.043601226,D
0.00816838,E
0.011586507,G
0.011202968,H
0.22196272,I
0.37476024,J
0.16827878,K
0.05469582,L
0.008097562,M
0.0036619063,PoseBad
