Probability,Class
0.02679267,A
0.028576823,B
0.0061320374,C
0.0057513886,D
0.049257874,E
0.10574069,G
0.28549406,H
0.13381316,I
0.038047995,J
0.067602366,K
0.008227276,L
0.008421983,M
0.2361417,PoseBad
