Probability,Class
0.007910369,A
0.10887013,B
0.08919518,C
0.0032248874,D
0.18314303,E
0.057280693,G
0.113365285,H
0.036007266,I
0.022923052,J
0.007480726,K
0.3104651,L
0.01766921,M
0.04246506,PoseBad
