Probability,Class
0.0002749936,A
0.00027654236,B
0.00019258968,C
0.0004382932,D
0.00032488746,E
0.0019045854,G
0.0019178014,H
0.00032930888,I
1.1371762e-05,J
0.0014399355,K
9.958202e-07,L
7.601145e-05,M
0.9928126,PoseBad
