Probability,Class
7.674914e-05,A
0.00014874109,B
0.0005967091,C
0.00043587468,D
0.00032876423,E
0.0021877883,G
0.9921049,H
0.00019923887,I
0.00088361016,J
0.000380301,K
0.0010355499,L
0.00088849134,M
0.00073339767,PoseBad
