Probability,Class
0.00011356596,A
0.0007608598,B
0.0007476895,C
4.9610742e-05,D
0.004040081,E
0.00300535,G
0.011154767,H
0.00037531136,I
0.0005480443,J
0.0016664556,K
0.0012444782,L
0.0002239122,M
0.97606987,PoseBad
