Probability,Class
0.007768595,A
0.009664536,B
0.0071437038,C
0.022412613,D
0.010107968,E
0.0037452148,G
0.018661186,H
0.013206681,I
0.11123055,J
0.002287563,K
0.007352833,L
0.0035447977,M
0.7828738,PoseBad
