Probability,Class
0.0006700536,A
0.45966616,B
0.010460125,C
0.00210426,D
0.0013819052,E
0.0044017383,G
0.021939669,H
0.012007918,I
0.010602172,J
0.023303395,K
0.01787174,L
0.020315355,M
0.41527545,PoseBad
